B=80, G=98, R=158
B=79, G=99, R=157
B=73, G=96, R=151
B=76, G=99, R=152
B=72, G=98, R=149
B=74, G=102, R=150
B=74, G=103, R=148
B=29, G=35, R=102
B=30, G=38, R=91
B=21, G=28, R=83
B=18, G=27, R=81
B=34, G=45, R=105
B=60, G=76, R=140
B=89, G=99, R=172
B=89, G=93, R=176
B=72, G=69, R=161
B=56, G=46, R=147
B=52, G=39, R=143
B=50, G=36, R=140
B=45, G=35, R=136
B=65, G=57, R=155
B=87, G=80, R=176
B=89, G=81, R=178
B=69, G=54, R=162
B=52, G=30, R=148
B=53, G=33, R=148
B=60, G=43, R=154
B=89, G=80, R=180
B=97, G=98, R=183
B=94, G=97, R=180
B=95, G=101, R=179
B=96, G=99, R=177
B=94, G=98, R=176
B=93, G=97, R=176
B=93, G=97, R=176
B=92, G=96, R=174
B=89, G=95, R=173
B=88, G=94, R=171
B=87, G=95, R=173
B=89, G=95, R=173
B=89, G=96, R=171
B=91, G=98, R=174
B=89, G=99, R=172
B=87, G=97, R=170
B=90, G=100, R=173
B=90, G=99, R=175
B=90, G=99, R=175
B=91, G=98, R=174
B=89, G=96, R=171
B=92, G=98, R=176
B=90, G=96, R=174
B=92, G=96, R=174
B=92, G=96, R=174
B=92, G=93, R=175
B=94, G=95, R=176
B=91, G=92, R=173
B=94, G=95, R=176
B=96, G=94, R=176
B=95, G=93, R=175
B=98, G=94, R=176
B=97, G=92, R=175
B=98, G=94, R=176
B=99, G=95, R=176
B=100, G=96, R=178
B=98, G=94, R=176
B=99, G=95, R=176
B=97, G=92, R=175
B=91, G=88, R=170
B=93, G=91, R=173
B=89, G=87, R=169
B=87, G=86, R=168
B=89, G=87, R=169
B=86, G=84, R=166
B=90, G=88, R=170
B=89, G=88, R=167
B=85, G=83, R=165
B=80, G=81, R=163
B=81, G=83, R=163
B=81, G=84, R=161
B=78, G=80, R=158
B=76, G=80, R=158
B=75, G=80, R=156
B=75, G=80, R=155
B=73, G=78, R=152
B=70, G=76, R=148
B=68, G=74, R=145
B=67, G=77, R=144
B=66, G=76, R=143
B=66, G=76, R=143
B=64, G=77, R=141
B=64, G=80, R=142
B=64, G=80, R=142
B=62, G=82, R=140
B=63, G=85, R=143
B=62, G=87, R=144
B=62, G=90, R=146
B=60, G=90, R=146
B=63, G=92, R=149
B=59, G=92, R=145
B=62, G=95, R=148
B=57, G=92, R=145
B=61, G=93, R=147
B=59, G=93, R=145
B=68, G=96, R=144
B=69, G=94, R=138
B=48, G=68, R=103
B=27, G=42, R=68
B=28, G=42, R=61
B=39, G=48, R=61
B=37, G=50, R=68
B=27, G=44, R=64
B=92, G=112, R=132
B=118, G=142, R=161
B=146, G=170, R=188
B=196, G=221, R=235
B=167, G=191, R=210
B=131, G=155, R=173
B=54, G=74, R=94
B=23, G=41, R=62
B=35, G=50, R=69
B=35, G=48, R=63
B=23, G=42, R=63
B=26, G=51, R=78
B=117, G=145, R=171
B=184, G=219, R=240
B=113, G=135, R=165
B=48, G=59, R=95
B=59, G=67, R=98
B=57, G=63, R=88
B=33, G=41, R=66
B=19, G=33, R=55
B=102, G=132, R=158
B=154, G=203, R=230
B=135, G=186, R=214
B=123, G=179, R=203
B=127, G=179, R=207
B=116, G=162, R=193
B=80, G=113, R=139
B=33, G=53, R=74
B=16, G=30, R=43
B=26, G=36, R=40
B=25, G=35, R=38
B=26, G=37, R=38
B=30, G=38, R=39
B=30, G=39, R=37
B=30, G=39, R=37
B=28, G=39, R=37
B=29, G=40, R=39
B=28, G=42, R=40
